"Time t (s)","Magnetometer x (µT)","Magnetometer y (µT)","Magnetometer z (µT)","Absolute magnetic field (µT)"
9.060000181E-1,-3.400000000E1,2.800000000E1,-6.100000000E1,7.523961639E1
1.004999995E0,-3.700000000E1,3.000000000E1,-6.000000000E1,7.660939789E1
1.105999947E0,-3.300000000E1,3.100000000E1,-5.700000000E1,7.279422760E1
1.205999970E0,-3.300000000E1,3.100000000E1,-6.000000000E1,7.516648102E1
1.304999948E0,-3.200000000E1,3.300000000E1,-6.000000000E1,7.558438873E1
1.404000044E0,-3.300000000E1,3.000000000E1,-5.800000000E1,7.316419983E1
1.503999949E0,-3.200000000E1,3.100000000E1,-5.800000000E1,7.313685608E1
1.603000045E0,-3.200000000E1,2.900000000E1,-6.100000000E1,7.473954773E1
1.702999949E0,-3.500000000E1,3.100000000E1,-5.900000000E1,7.527947998E1
1.802000046E0,-3.100000000E1,3.300000000E1,-6.200000000E1,7.677239227E1
1.901999950E0,-3.200000000E1,3.000000000E1,-5.900000000E1,7.351870728E1
2.000999928E0,-3.300000000E1,3.200000000E1,-5.900000000E1,7.479304504E1
2.101000071E0,-3.500000000E1,2.800000000E1,-5.800000000E1,7.330075073E1
2.200999975E0,-3.400000000E1,2.700000000E1,-6.300000000E1,7.651143646E1
2.301000118E0,-3.200000000E1,2.900000000E1,-5.900000000E1,7.311634827E1
2.400000095E0,-3.400000000E1,2.700000000E1,-6.000000000E1,7.406078339E1
2.500000000E0,-3.400000000E1,2.800000000E1,-5.800000000E1,7.282856750E1
2.598999977E0,-3.200000000E1,2.800000000E1,-5.600000000E1,7.031358337E1
2.697999954E0,-3.500000000E1,3.100000000E1,-6.000000000E1,7.606575775E1
2.798000097E0,-3.300000000E1,3.100000000E1,-6.200000000E1,7.677239227E1
2.897000074E0,-3.300000000E1,3.100000000E1,-6.100000000E1,7.596709442E1
2.997999907E0,-3.400000000E1,3.100000000E1,-6.100000000E1,7.640680695E1
3.096999884E0,-3.300000000E1,3.200000000E1,-5.900000000E1,7.479304504E1
3.196000099E0,-3.400000000E1,2.900000000E1,-5.800000000E1,7.321884918E1
3.296000004E0,-3.500000000E1,3.100000000E1,-6.000000000E1,7.606575775E1
3.394999981E0,-3.300000000E1,3.200000000E1,-5.700000000E1,7.322567749E1
3.494999886E0,-3.200000000E1,2.700000000E1,-5.800000000E1,7.153321075E1
3.595000029E0,-3.200000000E1,3.400000000E1,-6.000000000E1,7.602631378E1
3.694000006E0,-3.300000000E1,3.000000000E1,-6.200000000E1,7.637407684E1
3.792999983E0,-3.500000000E1,3.100000000E1,-5.900000000E1,7.527947998E1
3.894000053E0,-3.300000000E1,3.000000000E1,-6.000000000E1,7.475961304E1
3.993000031E0,-3.100000000E1,3.000000000E1,-5.800000000E1,7.228416443E1
4.092000008E0,-3.400000000E1,3.200000000E1,-5.600000000E1,7.291090393E1
4.191999912E0,-3.200000000E1,3.000000000E1,-6.100000000E1,7.513321686E1
4.290999889E0,-3.600000000E1,2.900000000E1,-6.000000000E1,7.574298859E1
4.390999794E0,-3.500000000E1,3.100000000E1,-5.900000000E1,7.527947998E1
4.491000175E0,-3.300000000E1,3.200000000E1,-5.900000000E1,7.479304504E1
4.590000153E0,-3.300000000E1,2.800000000E1,-6.100000000E1,7.479304504E1
4.690000057E0,-3.300000000E1,3.100000000E1,-6.000000000E1,7.516648102E1
4.789000034E0,-3.400000000E1,2.900000000E1,-6.100000000E1,7.561745453E1
4.888999939E0,-3.100000000E1,3.200000000E1,-5.400000000E1,7.000714111E1
4.987999916E0,-3.300000000E1,3.000000000E1,-6.200000000E1,7.637407684E1
5.087999821E0,-3.100000000E1,3.200000000E1,-6.300000000E1,7.716217041E1
5.188000202E0,-3.300000000E1,3.000000000E1,-5.500000000E1,7.080960083E1
5.287000179E0,-3.800000000E1,3.100000000E1,-5.900000000E1,7.672026825E1
5.387000084E0,-3.300000000E1,2.800000000E1,-5.700000000E1,7.156814575E1
5.486999989E0,-3.400000000E1,2.900000000E1,-6.400000000E1,7.805767059E1
5.585999966E0,-3.200000000E1,3.200000000E1,-5.700000000E1,7.278049469E1
5.685999870E0,-3.400000000E1,2.700000000E1,-6.000000000E1,7.406078339E1
5.784999847E0,-3.600000000E1,3.100000000E1,-6.100000000E1,7.731752777E1
5.885000229E0,-3.400000000E1,3.100000000E1,-5.900000000E1,7.481978607E1
5.984000206E0,-3.600000000E1,3.000000000E1,-6.000000000E1,7.613146210E1
6.084000111E0,-3.200000000E1,3.000000000E1,-5.900000000E1,7.351870728E1
6.184000015E0,-3.400000000E1,3.000000000E1,-5.600000000E1,7.205553436E1
6.282999992E0,-3.200000000E1,2.900000000E1,-5.800000000E1,7.231182098E1
6.382999897E0,-3.400000000E1,2.900000000E1,-6.400000000E1,7.805767059E1
6.481999874E0,-3.300000000E1,3.100000000E1,-5.900000000E1,7.437068939E1
6.581999779E0,-3.400000000E1,2.900000000E1,-6.000000000E1,7.481310272E1
6.682000160E0,-3.200000000E1,3.100000000E1,-5.700000000E1,7.234638977E1
6.782000065E0,-3.200000000E1,3.000000000E1,-6.000000000E1,7.432361603E1
6.881000042E0,-3.200000000E1,2.800000000E1,-5.700000000E1,7.111258698E1
6.980000019E0,-3.200000000E1,2.800000000E1,-6.000000000E1,7.353910828E1
7.079999924E0,-3.200000000E1,3.000000000E1,-5.900000000E1,7.351870728E1
7.178999901E0,-3.100000000E1,3.400000000E1,-6.000000000E1,7.561084747E1
7.278999805E0,-3.200000000E1,3.300000000E1,-5.900000000E1,7.479304504E1
7.379000187E0,-3.400000000E1,2.800000000E1,-5.700000000E1,7.203471375E1
7.478000164E0,-3.500000000E1,3.200000000E1,-5.700000000E1,7.414849854E1
7.578000069E0,-3.200000000E1,3.200000000E1,-5.800000000E1,7.356629944E1
7.677000046E0,-3.300000000E1,3.000000000E1,-5.700000000E1,7.237403107E1
7.776999950E0,-3.200000000E1,3.100000000E1,-6.000000000E1,7.473285675E1
7.875999928E0,-3.300000000E1,3.100000000E1,-5.800000000E1,7.357988739E1
7.975999832E0,-3.200000000E1,3.100000000E1,-6.000000000E1,7.473285675E1
8.076000214E0,-3.400000000E1,3.000000000E1,-5.700000000E1,7.283543396E1
8.175000191E0,-3.400000000E1,3.200000000E1,-6.300000000E1,7.841555786E1
8.274000168E0,-3.500000000E1,3.200000000E1,-5.900000000E1,7.569676208E1
8.373999596E0,-3.300000000E1,3.000000000E1,-6.000000000E1,7.475961304E1
8.473999977E0,-3.400000000E1,2.900000000E1,-6.000000000E1,7.481310272E1
8.574000359E0,-3.500000000E1,2.900000000E1,-5.900000000E1,7.447818756E1
8.673000336E0,-3.400000000E1,3.200000000E1,-6.100000000E1,7.681797028E1
8.772000313E0,-3.400000000E1,3.300000000E1,-6.100000000E1,7.723988342E1
8.871999741E0,-3.400000000E1,3.100000000E1,-6.000000000E1,7.561084747E1
8.972000122E0,-3.500000000E1,2.900000000E1,-5.800000000E1,7.368852997E1
9.071999550E0,-3.400000000E1,3.000000000E1,-5.900000000E1,7.441101837E1
9.170999527E0,-3.100000000E1,2.900000000E1,-5.900000000E1,7.268424988E1
9.270000458E0,-3.400000000E1,3.100000000E1,-5.900000000E1,7.481978607E1
9.371000290E0,-3.000000000E1,3.100000000E1,-5.900000000E1,7.308898926E1
9.468999863E0,-3.300000000E1,3.300000000E1,-5.800000000E1,7.444461060E1
9.569000244E0,-3.200000000E1,3.200000000E1,-6.100000000E1,7.595393372E1
9.668999672E0,-3.300000000E1,3.200000000E1,-6.000000000E1,7.558438873E1
9.767999649E0,-3.200000000E1,3.200000000E1,-6.100000000E1,7.595393372E1
9.868000031E0,-3.400000000E1,3.100000000E1,-6.200000000E1,7.720751190E1
9.968000412E0,-3.500000000E1,3.200000000E1,-6.100000000E1,7.726577759E1
1.006700039E1,-3.500000000E1,3.200000000E1,-6.100000000E1,7.726577759E1
1.016699982E1,-3.300000000E1,3.000000000E1,-5.500000000E1,7.080960083E1
1.026599979E1,-3.400000000E1,2.900000000E1,-5.800000000E1,7.321884918E1
1.036600018E1,-3.200000000E1,2.900000000E1,-6.000000000E1,7.392563629E1
1.046599960E1,-3.400000000E1,2.900000000E1,-6.100000000E1,7.561745453E1
1.056499958E1,-3.300000000E1,3.100000000E1,-6.100000000E1,7.596709442E1
1.066499996E1,-3.300000000E1,2.900000000E1,-5.900000000E1,7.355950165E1
1.076399994E1,-3.500000000E1,3.100000000E1,-6.100000000E1,7.685700989E1
1.086299992E1,-3.300000000E1,3.000000000E1,-5.900000000E1,7.395944977E1
1.096399975E1,-3.100000000E1,2.800000000E1,-5.900000000E1,7.229107666E1
1.106299973E1,-3.400000000E1,2.800000000E1,-6.200000000E1,7.605261230E1
1.116199970E1,-3.500000000E1,3.100000000E1,-6.000000000E1,7.606575775E1
1.126200008E1,-3.400000000E1,3.200000000E1,-6.300000000E1,7.841555786E1
1.136100006E1,-3.300000000E1,2.900000000E1,-5.900000000E1,7.355950165E1
1.146100044E1,-3.400000000E1,3.100000000E1,-6.000000000E1,7.561084747E1
1.156000042E1,-3.200000000E1,3.100000000E1,-5.800000000E1,7.313685608E1
1.166100025E1,-3.200000000E1,2.800000000E1,-6.000000000E1,7.353910828E1
1.176000023E1,-3.400000000E1,3.100000000E1,-6.000000000E1,7.561084747E1
1.185900021E1,-3.400000000E1,3.200000000E1,-6.000000000E1,7.602631378E1
1.196000004E1,-3.500000000E1,3.200000000E1,-5.800000000E1,7.491996002E1
1.205900002E1,-3.200000000E1,3.100000000E1,-5.700000000E1,7.234638977E1
1.215799999E1,-3.400000000E1,3.100000000E1,-5.800000000E1,7.403377533E1
1.225699997E1,-3.400000000E1,3.100000000E1,-6.100000000E1,7.640680695E1
1.235700035E1,-3.500000000E1,3.100000000E1,-6.000000000E1,7.606575775E1
1.245699978E1,-3.400000000E1,3.200000000E1,-5.700000000E1,7.368174744E1
1.255700016E1,-3.400000000E1,2.900000000E1,-5.900000000E1,7.401351166E1
1.265600014E1,-3.200000000E1,2.900000000E1,-5.800000000E1,7.231182098E1
1.275500011E1,-3.500000000E1,3.200000000E1,-6.200000000E1,7.805767059E1
1.285499954E1,-3.500000000E1,3.000000000E1,-5.800000000E1,7.408778381E1
1.295400047E1,-3.300000000E1,2.800000000E1,-6.100000000E1,7.479304504E1
1.305399990E1,-3.300000000E1,3.000000000E1,-6.100000000E1,7.556454468E1
1.315400028E1,-3.400000000E1,2.900000000E1,-5.600000000E1,7.164495850E1
1.325300026E1,-3.300000000E1,3.000000000E1,-5.700000000E1,7.237403107E1
1.335299969E1,-3.400000000E1,3.200000000E1,-6.100000000E1,7.681797028E1
1.345199966E1,-3.300000000E1,2.800000000E1,-6.200000000E1,7.561084747E1
1.355200005E1,-3.400000000E1,2.900000000E1,-6.000000000E1,7.481310272E1
1.365200043E1,-3.200000000E1,3.000000000E1,-6.200000000E1,7.594734955E1
1.375100040E1,-2.900000000E1,3.100000000E1,-5.800000000E1,7.187489319E1
1.385000038E1,-3.400000000E1,3.200000000E1,-6.200000000E1,7.761443329E1
1.394999981E1,-3.500000000E1,2.900000000E1,-6.200000000E1,7.687652588E1
1.405000019E1,-3.300000000E1,3.000000000E1,-6.200000000E1,7.637407684E1
1.414999962E1,-3.600000000E1,2.900000000E1,-5.800000000E1,7.416872406E1
1.424899960E1,-3.500000000E1,3.000000000E1,-6.100000000E1,7.645913696E1
1.434799957E1,-3.400000000E1,3.000000000E1,-6.000000000E1,7.520638275E1
1.444799995E1,-3.200000000E1,2.900000000E1,-5.900000000E1,7.311634827E1
1.454800034E1,-3.200000000E1,3.100000000E1,-6.200000000E1,7.634788513E1
1.464700031E1,-3.500000000E1,3.000000000E1,-6.300000000E1,7.806407928E1
1.474600029E1,-3.500000000E1,3.100000000E1,-5.900000000E1,7.527947998E1
1.484599972E1,-3.500000000E1,3.200000000E1,-5.700000000E1,7.414849854E1
1.494600010E1,-3.400000000E1,3.000000000E1,-5.800000000E1,7.362065125E1
1.504500008E1,-3.300000000E1,2.900000000E1,-5.500000000E1,7.039176178E1
1.514500046E1,-3.400000000E1,3.200000000E1,-5.900000000E1,7.523961639E1
1.524400043E1,-3.100000000E1,3.000000000E1,-5.600000000E1,7.068946075E1
1.534399986E1,-3.300000000E1,3.200000000E1,-5.900000000E1,7.479304504E1
1.544400024E1,-3.500000000E1,2.900000000E1,-6.000000000E1,7.527283478E1
1.554300022E1,-3.400000000E1,2.900000000E1,-5.900000000E1,7.401351166E1
1.564200020E1,-3.200000000E1,3.200000000E1,-5.500000000E1,7.122499847E1
1.574199963E1,-3.500000000E1,3.000000000E1,-6.100000000E1,7.645913696E1
1.584200001E1,-3.100000000E1,3.100000000E1,-6.300000000E1,7.675285339E1
1.594099998E1,-3.300000000E1,2.800000000E1,-6.000000000E1,7.397972870E1
1.604100037E1,-3.400000000E1,3.200000000E1,-6.200000000E1,7.761443329E1
1.613999939E1,-3.300000000E1,3.000000000E1,-5.700000000E1,7.237403107E1
1.623999977E1,-3.100000000E1,3.200000000E1,-6.300000000E1,7.716217041E1
1.633900070E1,-3.200000000E1,3.100000000E1,-6.000000000E1,7.473285675E1
1.643799973E1,-3.000000000E1,2.800000000E1,-5.600000000E1,6.942621613E1
1.653800011E1,-3.400000000E1,3.000000000E1,-5.700000000E1,7.283543396E1
1.663800049E1,-3.600000000E1,2.700000000E1,-5.500000000E1,7.106335449E1
1.673800087E1,-3.000000000E1,3.100000000E1,-5.900000000E1,7.308898926E1
1.683699989E1,-3.300000000E1,3.200000000E1,-6.200000000E1,7.718160248E1
1.693600082E1,-3.400000000E1,3.200000000E1,-6.300000000E1,7.841555786E1
1.703599930E1,-3.400000000E1,2.800000000E1,-5.800000000E1,7.282856750E1
1.713599968E1,-3.300000000E1,3.100000000E1,-6.000000000E1,7.516648102E1
1.723500061E1,-3.300000000E1,3.200000000E1,-6.200000000E1,7.718160248E1
1.733399963E1,-3.400000000E1,3.000000000E1,-5.900000000E1,7.441101837E1
1.743499947E1,-3.400000000E1,3.300000000E1,-5.900000000E1,7.567033386E1
1.753400040E1,-3.500000000E1,2.900000000E1,-5.900000000E1,7.447818756E1
1.763299942E1,-3.100000000E1,2.900000000E1,-6.100000000E1,7.431688690E1
1.773299980E1,-3.300000000E1,3.300000000E1,-6.200000000E1,7.760154724E1
1.783200073E1,-3.400000000E1,3.100000000E1,-5.500000000E1,7.170774078E1
1.793199921E1,-3.200000000E1,3.100000000E1,-6.100000000E1,7.553807068E1
1.803199959E1,-3.400000000E1,3.300000000E1,-6.000000000E1,7.645259857E1
1.813100052E1,-3.400000000E1,3.100000000E1,-5.800000000E1,7.403377533E1
1.823100090E1,-3.400000000E1,3.200000000E1,-6.000000000E1,7.602631378E1
1.833099937E1,-3.200000000E1,3.000000000E1,-6.200000000E1,7.594734955E1
1.843000031E1,-3.400000000E1,3.100000000E1,-5.800000000E1,7.403377533E1
1.853000069E1,-3.500000000E1,3.200000000E1,-6.000000000E1,7.647875214E1
1.862899971E1,-3.100000000E1,3.300000000E1,-6.000000000E1,7.516648102E1
1.872800064E1,-3.600000000E1,3.100000000E1,-6.300000000E1,7.890500641E1
1.882900047E1,-3.400000000E1,2.900000000E1,-6.000000000E1,7.481310272E1
1.892799950E1,-3.300000000E1,3.000000000E1,-6.100000000E1,7.556454468E1
1.902700043E1,-3.500000000E1,3.100000000E1,-5.900000000E1,7.527947998E1
1.912599945E1,-3.500000000E1,3.100000000E1,-6.100000000E1,7.685700989E1
1.922599983E1,-3.500000000E1,3.100000000E1,-5.800000000E1,7.449832153E1
1.932500076E1,-3.300000000E1,2.800000000E1,-5.700000000E1,7.156814575E1
1.942600060E1,-3.400000000E1,3.000000000E1,-6.400000000E1,7.843468475E1
1.952499962E1,-3.500000000E1,3.100000000E1,-5.800000000E1,7.449832153E1
1.962400055E1,-3.500000000E1,2.900000000E1,-5.800000000E1,7.368852997E1
1.972400093E1,-3.300000000E1,3.100000000E1,-5.400000000E1,7.046984863E1
1.982399940E1,-3.300000000E1,2.700000000E1,-6.000000000E1,7.360706329E1
1.992300034E1,-3.300000000E1,3.200000000E1,-6.300000000E1,7.798717499E1
2.002300072E1,-3.200000000E1,2.900000000E1,-5.600000000E1,7.071775055E1
2.012299919E1,-3.400000000E1,3.000000000E1,-5.800000000E1,7.362065125E1
2.022200012E1,-3.400000000E1,3.000000000E1,-5.900000000E1,7.441101837E1
2.032200050E1,-3.400000000E1,3.100000000E1,-6.200000000E1,7.720751190E1
2.042099953E1,-3.500000000E1,3.100000000E1,-5.700000000E1,7.372245026E1
2.052000046E1,-3.400000000E1,3.200000000E1,-6.000000000E1,7.602631378E1
2.062000084E1,-3.400000000E1,3.100000000E1,-5.500000000E1,7.170774078E1
2.071899986E1,-3.300000000E1,3.100000000E1,-5.900000000E1,7.437068939E1
2.081999969E1,-3.700000000E1,3.200000000E1,-5.700000000E1,7.511325073E1
2.091900063E1,-3.300000000E1,3.200000000E1,-6.200000000E1,7.718160248E1
2.101799965E1,-3.300000000E1,3.300000000E1,-6.000000000E1,7.601315308E1
2.111800003E1,-3.500000000E1,3.000000000E1,-6.100000000E1,7.645913696E1
2.121800041E1,-3.400000000E1,3.100000000E1,-5.800000000E1,7.403377533E1